"ID","Dominio","Tarea de usuario","Objetivo del usuario","Implementación actual verificada","Archivos / componentes","Tests / QA / evidencia","Frecuencia esperada","Fuente de la frecuencia","Criticidad","Objeto / contexto del que depende","Precondiciones","Dónde vive hoy","Rutas alternativas actuales","Findings CRI-7 relacionados","Qué funciona bien y debe conservarse","Clasificación UX","Expanded: ruta funcional propuesta","Medium: ruta funcional propuesta","Compact: ruta funcional propuesta","Mouse / keyboard path","Touch path","Necesidad de precisión especial","¿Puede ser contextual a selección?","Visibilidad persistente o disclosure","Superficie apropiada","Disabled / loading / error","Feedback esperado","Focus / Escape / Cancel / Reset","Impacto en canvas-budget","Decisión para CRI-9","Patrón para CRI-10","Unknowns / preguntas abiertas"
"CNV-03","Lienzo","Controlar qué capas se ven","Reducir el dibujo a lo que la tarea necesita.","NUEVE capas (`model, loads, dimensions, ids, results, labels, help, diagnostics, heatmap`) y CINCO presets de tarea (`all, model, loads, results, clean`). Persistido en localStorage. `heatmap` arranca apagado por decisión explícita: reinterpreta el color de las barras y «se pide, no se hereda».","src/features/canvas/editorLayers.ts:1-60; src/features/canvas/CanvasLayers.tsx:27-45; src/features/workspace/CommandPalette.tsx:186-194","src/features/canvas/editorLayers.test.ts; src/features/canvas/CanvasLayers.test.tsx","media","inferencia","contextual","Lienzo.","Ninguna.","Disparador flotante sobre el lienzo (`canvas-layer-trigger`) + 5 comandos de preset en la paleta.","El Inspector › Vista tiene SUS PROPIOS interruptores (`showGrid`, `showNodeLabels`, `showMemberLabels`, `showLocalAxes`, `showDimensions`, `showLoads`, `showResultValues`, `showResultOverlay`) — un SEGUNDO sistema de visibilidad sobre el mismo lienzo.","F-09 (`canvas-layer-trigger` a 11px de radio, fuera de escala).","Los presets como «respuesta a qué estoy haciendo ahora» en vez de una capa más: está razonado en el propio código.","4 Canvas-local","Disparador flotante.","Igual.","Igual.","Tap/clic; presets por paleta.","Tap.","Ocultar capas ES una herramienta de precisión (reduce candidatos).","No.","disclosure","canvas chrome → popover","`activeEditorLayerPreset` detecta si el estado actual coincide con un preset.","El dibujo cambia.","No verificado el retorno.","Un disparador flotante.","DUPLICACIÓN INNECESARIA CONFIRMADA: dos sistemas de visibilidad (capas del lienzo y ajustes del Inspector › Vista) gobiernan lo mismo desde sitios distintos, sin relación visible entre ellos.","Panel de capas con presets, unificado con los interruptores del Inspector.","Qué gana si las capas y los `show*` del Inspector se contradicen."
"CNV-04","Lienzo","Activar rejilla y ajuste (snap)","Dibujar sobre posiciones exactas.","`settings.showGrid`, `settings.snap`, `settings.gridSize` y `snapTargets` con CINCO destinos: rejilla, nudos, puntos medios, intersecciones y perpendicular.","src/features/inspector/Inspector.tsx:311-331; src/utils/snapping.ts; src/features/canvas/StructuralCanvas.tsx:384-399","src/utils/snapping.test.ts (via canvasInteraction.test.ts)","alta","inferencia","esencial","Colocación.","Ninguna.","Inspector › Vista (los cinco destinos) + comandos `view:grid` y `view:snap` en la paleta + chips de estado sobre el lienzo (SÓLO informativos, no accionables).","Tres representaciones, y sólo dos accionables.","—","Cinco destinos de snap con control individual: es nivel CAD y está construido.","4 Canvas-local","Inspector › Vista + paleta.","Igual.","Hoja Inspector › Vista.","Casillas o comandos de paleta.","Casillas en la hoja.","ES la herramienta de precisión principal con puntero.","No.","disclosure","panel + canvas chrome (estado)","Los chips `canvas-view-chips` muestran on/off pero NO se pueden pulsar.","Indicador de snap durante la colocación.","—","Chips flotantes sobre el lienzo.","Los chips ocupan lienzo para informar de algo que no dejan cambiar. Si van a estar ahí, ¿por qué no son el control?","Chip de estado vs chip accionable: la diferencia debe ser legible.","Frecuencia de cambio de `snapTargets`."
"CNV-05","Lienzo","Leer la posición y la escala actuales","Saber dónde está el cursor en coordenadas del modelo.","`<output>` con `aria-label`, actualizado sólo si el perfil de puntero lo pide (`canvasPointerProfile(pointerType).showsCoordinates`) — es decir, NO en táctil, donde el dedo tapa y la lupa cubre esa función.","src/features/canvas/CanvasChrome.tsx:68-73; src/features/canvas/StructuralCanvas.tsx:624-626","src/features/canvas/CanvasChrome.test.tsx","alta","evidencia","esencial","Puntero sobre el lienzo.","Perfil de puntero que muestre coordenadas.","Chrome de estado del lienzo.","La lupa táctil incluye la cota.","F-03 (textos técnicos pequeños).","DECIDE POR MÉTODO DE ENTRADA, no por ancho: el readout es de puntero, la lupa es de dedo. Es exactamente el principio «misma capacidad, distinta interacción por input» ya implementado.","4 Canvas-local","Readout permanente.","Igual.","Presente pero sin actualizarse en táctil; la cota vive en la lupa.","Se actualiza con el movimiento.","Sustituido por la cota de la lupa.","Sí.","No.","persistente","canvas chrome","«X — · Y —» cuando no hay posición.","Es el feedback.","—","Franja inferior del lienzo.","Es el precedente interno de «responder al método de entrada». CRI-9 puede citarlo como patrón existente.","Tipografía tabular del readout.","—"
"CNV-06","Lienzo","Saber en qué modo está el lienzo","Entender qué va a pasar al tocar.","`canvas-mode-badge` con `role=""status""`, `aria-live`, nombre del modo, instrucción de colocación cuando la hay, botón de cancelar, y pistas de gesto DISTINTAS para escritorio y táctil (`desktop-gesture-hint` / `touch-gesture-hint`).","src/features/canvas/CanvasChrome.tsx:48-57","src/features/canvas/CanvasChrome.test.tsx","alta","evidencia","esencial","Herramienta activa + estado de colocación.","Ninguna.","Esquina superior del lienzo.","El estado activo del rail lo dice también.","F-03 (texto pequeño).","Pistas de gesto separadas por método de entrada, ya escritas y traducidas.","4 Canvas-local + 6 Workflow temporal","Badge + pista de escritorio.","Igual.","Badge + pista táctil.","Informativo; el botón X cancela.","Igual.","No.","No.","persistente","canvas chrome","Modo normal vs colocación (`placing-load`).","`aria-live=""polite""`.","El botón de cancelar es alcanzable.","Franja superior del lienzo.","El badge es el único sitio donde el producto explica el gesto correcto. ¿Es suficiente o hace falta más?","Badge de modo con instrucción y cancelación.","—"
"CNV-07","Lienzo","Navegar el modelo con el teclado","Alcanzar y activar objetos sin ratón.","`role=""application""`, `aria-label`, `aria-describedby` y `aria-keyshortcuts=""V H N M S P D O C X B R Delete Backspace Escape""`. Nudos, barras y cargas son paradas de tabulación con indicador de foco propio (sobre un hijo o con `drop-shadow`).","src/features/canvas/StructuralCanvas.tsx:2089; src/styles.css:604-605, 663-664, 689","CRI-7 §5 (480 paradas muestreadas); src/features/canvas/StructuralCanvas.structuralEditing.test.tsx","media","evidencia","esencial","Lienzo enfocado.","Ninguna.","El propio lienzo.","Paleta por ID (SHL-06); Datasheet con navegación de rejilla.","§5 y §6 (fortaleza nº 2: «para un editor tipo CAD esto es infrecuente y valioso»).","ES UNA DE LAS DOS O TRES MEJORES COSAS DEL PRODUCTO. Un lienzo CAD realmente tabulable con foco visible sobre SVG.","4 Canvas-local + 7 Power-user","Tab por objetos.","Igual.","Igual si hay teclado.","Tab/Shift+Tab; teclas de herramienta; Delete; Escape.","No aplica.","ES una ruta de precisión: tabular no falla nunca el objetivo.","No.","invisible","canvas","Anillo de foco propio por tipo de objeto.","Foco visible + selección.","Enlace de salto (`app-shell-skip-link`) como primer nodo del shell.","—","Con miles de objetos, tabular uno a uno no escala. ¿Hay un nivel intermedio (grupos, saltos)? Hoy no.","Anillo de foco sobre SVG: unificarlo entre tipos de objeto.","Escalabilidad con modelos grandes."
"CNV-08","Lienzo","Arrastrar un nudo","Corregir geometría a mano.","Interacción `node-drag` con transacción explícita: `beginProjectTransaction` → `moveNodeTransient` → `commitProjectTransaction`, y `cancelNodeDragTransaction` si se interrumpe. Una sola entrada de historial por arrastre.","src/features/canvas/StructuralCanvas.tsx:172, 1344; src/store/ProjectContext.tsx:461-506","src/store/ProjectContext.test.tsx","alta","inferencia","esencial","Nudo.","Herramienta `select`.","Lienzo.","Inspector (X/Y exactos), Datasheet (celda), edición estructural (mover con delta).","—","La transacción impide que un arrastre genere 60 entradas de historial, y se cancela limpiamente si la app pierde el foco o el gesto se corta.","4 Canvas-local + 3 Contextual a selección","Arrastre.","Arrastre.","Arrastre con lupa.","Arrastre; snap activo.","Arrastre con lupa.","Sí; resuelta por snap + lupa + alternativa numérica.","SÍ.","invisible","canvas","Cancelación en `blur`, `visibilitychange` y llegada de un segundo dedo.","El nudo y todo lo conectado se redibujan en vivo.","Escape cancela.","—","El patrón de transacción es correcto y debería ser el contrato para cualquier gesto continuo nuevo.","—","—"
"CNV-09","Lienzo","Exportar el lienzo como imagen","Llevarse el dibujo a un informe.","Comandos `export-svg` y `export-png` del bus, atendidos por el propio lienzo.","src/features/workspace/workspaceCommands.ts:33-36; src/features/topbar/TopBar.tsx:466-467, 524-525; src/features/workspace/CommandPalette.tsx:269-276","qa.mjs","baja","inferencia","secundaria","Lienzo con contenido.","Ninguna.","Menú de exportación + «Más» + paleta.","Tres puertas (ver SHL-22).","F-06.","La exportación la ejecuta quien tiene el render, no un duplicador: el bus evita una segunda implementación del dibujo.","2 Contextual a proyecto","Menú de exportación.","Igual.","«Más» › Exportar.","Menú.","Tap.","No.","No.","disclosure","modal (popover)","Toast de éxito sin comprobar el resultado real.","Toast.","—","Nulo.","—","—","Si el toast puede aparecer aunque la exportación falle."
"CNV-10","Lienzo","Ver el modelo en modo impresión","Sacar el trabajo en papel.","`@media print` en `styles.css:1049`: oculta TopBar, ToolRail, Inspector, nota legal, controles de cámara, estado y tirador; el lienzo pasa a 58vh y Results se despliega entero sin pestañas.","src/styles.css:1049; src/features/topbar/TopBar.tsx:468, 526","CRI-7 (no medido en impresión).","baja","inferencia","secundaria","Proyecto.","Ninguna.","Entrada «Imprimir» en el menú de exportación y en «Más».","Comando `export:print` en la paleta + PDF de cálculo (SHL-22), que es otra cosa.","—","ES UNA CUARTA COMPOSICIÓN NO DECLARADA: print ya demuestra que el producto sabe recomponerse retirando todo el chrome. Nadie la cuenta como tier, y funcionalmente lo es.","9 Fullscreen / datos densos","Igual en las tres clases: la hoja de papel no tiene breakpoints.","Igual.","Igual.","Menú o Ctrl+P del navegador.","Menú.","No.","No.","disclosure","fullscreen","—","Diálogo del navegador.","—","Recupera el 100% para el contenido.","La composición de impresión es la prueba de que «retirar todo el chrome» no rompe nada. CRI-9 debería mirarla como referencia interna.","Estilo de impresión bajo Brandbook.","Calidad real del resultado impreso — no verificada."
"INS-01","Inspector","Ver y editar las propiedades del objeto seleccionado","Leer y corregir con exactitud lo que el lienzo sólo aproxima.","`InspectorProperties` ramifica por `selection.kind`: nudo (x, y, rótula interna, apoyo completo, muelles, desplazamientos prescritos), miembro (tipo, E, A, I, G, área de cortante, densidad, teoría de viga, releases, muelles rotacionales, offsets rígidos), carga nodal, carga de miembro, y multi (→ Bulk Edit).","src/features/inspector/InspectorProperties.tsx:180-260, 510; src/features/inspector/Inspector.tsx:220-224","src/features/inspector/Inspector.test.tsx (820 líneas); src/features/inspector/InspectorNumericField.test.tsx","alta","evidencia","esencial","Selección.","Objeto seleccionado (si no, estado vacío).","Panel lateral de 320px SIEMPRE presente en Expanded, aunque no haya selección. Hoja inferior en Compact.","Datasheet (tabular), Bulk Edit (masivo), lienzo (aproximado).","F-01 (320px inline que ganan a `:root`; 27.6% del viewport en 1024×768, MÁS que el propio lienzo). F-03 (`dt` a 9px, `dd` con «-7.7879 kN» a 10px).","`InspectorNumericField` con `resetKey`: al cambiar de objeto o de unidad el campo se reinicia en vez de arrastrar el valor anterior. Y las ediciones de miembro pasan por `executeProjectCommand`, no por mutación directa.","5 Inspector/detail + 3 Contextual a selección","Panel permanente de 280-480px.","Panel permanente idéntico — no se contrae (F-01). Es el mayor problema del tier.","Hoja inferior modal con tres detents, abierta por botón flotante o por selección en el lienzo.","Tab por campos; commit en blur/Enter.","Hoja con detents; teclado en pantalla gestionado vía `visualViewport`.","ES la ruta de precisión numérica: el lienzo aproxima, el Inspector es exacto.","SÍ, plenamente — ya lo es en contenido, no en presencia.","hoy persistente; el contenido ya es 100% contextual","panel / sheet","Estado vacío sin selección; `inspector-inline-issues` muestra problemas de validación del objeto.","El lienzo se actualiza al instante.","En modal: trampa de foco + Escape (`Inspector.tsx:97-133`).","EL MAYOR CONSUMIDOR: 27.6% / 22.2% / 20.0% / 18.9% del viewport según anchura.","DECISIÓN CENTRAL: el Inspector es contextual a la selección en su CONTENIDO pero global permanente en su PRESENCIA. Sin selección ocupa 320px para mostrar un estado vacío.","Ficha de propiedades: densidad legible con datos de ingeniería por encima del suelo tipográfico.","Cuánto tiempo de sesión transcurre sin selección."
"INS-02","Inspector","Aplicar un material de catálogo","Dar propiedades reales a una barra sin teclear E, G y densidad.","`MaterialPresetSelector` → `executeProjectCommand({ kind: ""member.material.apply"", materialId, properties })`. El comando transporta el `materialId` EXPLÍCITO además de los valores.","src/features/inspector/InspectorProperties.tsx (applyMaterialPreset); src/features/inspector/MaterialPresetSelector.tsx; src/data/standardMaterials.ts; src/commands/projectCommand.ts","src/engine/identityMetadata.test.ts; src/commands/projectCommand.test.ts; reports/2026-08-10-2351-identidad-materiales-secciones.md","alta","inferencia","esencial","Miembro seleccionado.","Selección de tipo `member`.","Inspector, sección de miembro.","Datasheet (columna de material), Bulk Edit (masivo), generadores (`properties: catalog`).","—","RESTRICCIÓN PROTEGIDA CUMPLIDA Y PROBADA: el `materialId` viaja explícito y NO se infiere por coincidencia de floats. Hay test dedicado (`identityMetadata.test.ts`).","3 Contextual a selección + 5 Inspector/detail","Inspector.","Igual.","Hoja Inspector.","Selector.","Selector.","No.","SÍ.","contextual dentro del panel","panel / sheet","Sólo aparece con miembro seleccionado.","Los campos E/G/densidad se rellenan.","—","Dentro del Inspector.","Ejemplo canónico del enunciado de CRI-8: puerta individual = Inspector, masiva = Bulk Edit/Datasheet, en lote = generador. Las tres escriben el MISMO comando.","Selector de catálogo con previsualización de propiedades.","Tamaño real del catálogo de materiales."
"INS-03","Inspector","Aplicar una sección de catálogo","Elegir el perfil y ver su forma.","`SectionPresetSelector` + `SectionViewer2D`/`SectionShape` que DIBUJAN la sección desde su geometría (`sectionGeometry.ts`). Comando `member.section.apply` con `sectionId` explícito.","src/features/inspector/SectionPresetSelector.tsx; src/features/inspector/SectionViewer2D.tsx; src/features/inspector/sectionGeometry.ts; src/data/standardSections.ts","src/features/inspector/SectionViewer2D.test.tsx; src/engine/identityMetadata.test.ts","alta","inferencia","esencial","Miembro seleccionado.","Selección `member`.","Inspector.","Datasheet, Bulk Edit (con `BulkSectionPreview` propio), generadores.","—","La PREVISUALIZACIÓN GRÁFICA de la sección: no es una lista de nombres, es la forma dibujada. Y el `sectionId` explícito, igual que el material.","3 Contextual a selección + 5 Inspector/detail","Inspector con dibujo.","Igual.","Hoja.","Selector.","Selector.","No.","SÍ.","contextual","panel / sheet","Sólo con miembro.","Forma dibujada + A e I actualizados.","—","Dentro del Inspector.","La previsualización de sección necesita espacio propio. En una hoja Compact compite con el resto de propiedades.","Visor de sección: escala, cotas y legibilidad en ambos temas.","—"
"INS-04","Inspector","Editar varios objetos a la vez (Bulk Edit)","Cambiar una propiedad en N objetos sin repetir N veces.","Subsistema completo: alcance (`bulkEditScope`), agregación de valores comunes (`bulkEditAggregation`), intención (`bulkEditIntent`), compatibilidad entre tipos, valor efectivo, proyección, resumen de cambios (`BulkChangeSummary`) y comando único (`bulkEditCommand`). Cubre miembros, apoyos y cargas.","src/features/bulk-edit/ (37 archivos); src/features/bulk-edit/BulkEditInspectorPanel.tsx:31-92; src/features/inspector/InspectorProperties.tsx:510","src/features/bulk-edit/*.test.ts(x) (14 suites); scripts/qa-bulk-edit.mjs (+ WebKit); BulkEditAccessibility.test.tsx","media","inferencia","esencial","`selection.kind === ""multi""`.","Multiselección.","Dentro del Inspector, sustituyendo la ficha individual.","Datasheet permite pegar bloques (DAT-06), que es la otra vía masiva.","F-13 (usa `@container` en rem — citado como buena práctica).","REVISIÓN ANTES DE ESCRIBIR: resumen de cambios, valores mixtos representados de verdad, y una sola entrada de historial. Es el patrón «review/apply» mejor construido del producto junto al del Datasheet.","3 Contextual a selección + 5 Inspector/detail","Inspector.","Igual.","Hoja Inspector.","Tab por campos; aplicar explícito.","Hoja; la revisión pide altura, que es justo lo que falta en Compact.","No.","SÍ — aparece SOLO con multiselección. Contextualidad ya implementada.","contextual","panel / sheet","`error` capturado con `action.applyFailed`; compatibilidad entre tipos evaluada.","Resumen de qué va a cambiar antes de aplicar.","Suite de accesibilidad propia.","Dentro del Inspector.","Bulk Edit y el Datasheet resuelven «masivo» de dos formas distintas (por propiedad vs por celda). Ambas legítimas; CRI-9 debe decir cuándo lleva a cuál.","Representación de valor mixto y de cambio pendiente.","Cuál de las dos vías masivas se usa más."
"INS-05","Inspector","Gestionar casos de carga y combinaciones","Definir las hipótesis que se van a analizar.","Pestaña «Cargas» del Inspector: crear casos (`LC1`, `LC2`…), activarlos/desactivarlos, renombrarlos; crear combinaciones (`COMB1`…) con factores por caso editables; y mostrar jurisdicción/edición/fuente normativa cuando la combinación viene de plantilla.","src/features/inspector/Inspector.tsx:250-292","src/features/inspector/Inspector.test.tsx","media","inferencia","esencial","Proyecto.","Ninguna.","Inspector › pestaña Cargas. Es la ÚNICA puerta a crear casos y combinaciones.","El TopBar y «Más» sólo SELECCIONAN la combinación activa (SHL-07); no las crean ni las editan.","F-02 (`mini-button` de añadir con icono de 15px).","Las combinaciones de plantilla declaran su fuente normativa (`jurisdiction`, `edition`, `source`) y avisan de que son editables. Trazabilidad real.","2 Contextual a proyecto/análisis + 5 Inspector/detail","Pestaña del Inspector.","Igual.","Hoja Inspector › Cargas.","Tab; navegación de pestañas por flechas/Home/End (`onTabKeyDown`).","Hoja.","Campos de factor numéricos finos.","NO: no depende de la selección, y sin embargo vive en el panel de la selección.","disclosure (pestaña)","panel / sheet","Sin combinaciones, sólo «casos activos».","La lista crece; el selector del TopBar se actualiza.","Roving por pestañas.","Dentro del Inspector.","INCOHERENCIA DE UBICACIÓN: definir hipótesis no es una propiedad de la selección, pero vive dentro del panel de selección. Es contextual a PROYECTO, no a OBJETO.","Editor de combinación con factores y procedencia normativa.","Cuántas combinaciones maneja un proyecto real."
"INS-06","Inspector","Ajustar la visualización del modelo y de los resultados","Controlar qué se dibuja y a qué escala.","Pestaña «Vista»: modo de cálculo, rejilla/snap/tamaño, rótulos de nudo y barra, ejes locales, cotas, cargas, valores críticos, precisión CAD (5 destinos de snap + 3 filtros de selección), overlay de resultados, escala común/individual, factor visual, escala de deformada, lado del diagrama, y leyenda de colores semánticos.","src/features/inspector/Inspector.tsx:295-349","src/features/inspector/Inspector.test.tsx","media","inferencia","contextual","Lienzo.","Ninguna.","Pestaña «Vista» del Inspector — 4 secciones y ~20 controles.","Capas del lienzo (CNV-03) gobiernan un conjunto SOLAPADO pero distinto. Paleta cubre rejilla, snap y presets.","F-03 (`section-description` y `field-help` a 10px).","La leyenda de colores semánticos vive junto a los controles que la usan.","4 Canvas-local + 8 Configuración","Pestaña del Inspector.","Igual.","Hoja Inspector › Vista.","Tab por ~20 controles.","Hoja con scroll largo.","Contiene los controles de precisión (snap, filtros) — ver SEL-06.","NO.","disclosure (pestaña)","panel / sheet","—","El lienzo cambia.","Roving por pestañas.","Dentro del Inspector.","SEGUNDA INCOHERENCIA: los ajustes del LIENZO viven en el panel de la SELECCIÓN, mientras el control de capas vive sobre el lienzo. Dos sistemas, dos sitios, un solo dibujo.","Unificar capas + ajustes de vista en un solo patrón.","Cuáles de los ~20 controles se tocan alguna vez."
"INS-07","Inspector","Elegir la herramienta de carga desde el Inspector","Empezar a colocar una carga desde donde se estaban mirando las cargas.","`LoadsPanel` ofrece tres botones que llaman a `setActiveTool` y CIERRAN la hoja (`chooseLoadTool` → `onClose?.()`).","src/features/inspector/Inspector.tsx:135-138, 243-249","src/features/inspector/Inspector.test.tsx","media","inferencia","contextual","Ninguno.","Ninguna.","Inspector › Cargas, sección «Añadir carga».","Rail, dock táctil, hoja «Cargas», paleta. CINCO lanzadores para tres herramientas.","—","Cerrar la hoja al elegir es correcto: la herramienta se usa sobre el lienzo, que la hoja tapaba.","3 Contextual a selección (débil) + 1 Global persistente (duplicado)","Inspector.","Igual.","Hoja que se cierra sola.","Tab + Enter.","Tap.","No.","No.","disclosure","panel / sheet","`aria-pressed` refleja la herramienta activa.","La hoja se cierra y el badge de modo cambia.","Devuelve al lienzo.","Dentro del Inspector.","DUPLICACIÓN INNECESARIA: cinco lanzadores para las mismas tres herramientas. En Compact tiene sentido (la hoja está abierta); en Expanded el rail ya está a la vista.","—","Si alguien usa esta ruta en Expanded."
"RES-01","Resultados","Leer el resumen del análisis","Saber de un vistazo qué salió.","Pestaña `summary` → `ResultSummary`, dentro de la familia «Estado».","src/features/results/ResultSummary.tsx; src/features/results/ResultsPanel.tsx:43-49, 547","src/features/results/ResultsPanel.test.tsx; src/engine/resultSummary.test.ts","alta","inferencia","esencial","Análisis correcto.","`analysis?.success`.","Panel Results, familia «Estado».","Comando de paleta `results:summary`.","§2 (Results reserva altura fija: 22-25% del viewport en Expanded, analizado o no).","Las pestañas están agrupadas en CINCO FAMILIAS semánticas (Estado, Fuerzas, Forma, Avanzado, Entender) con `aria-describedby` que las enlaza. No es una tira plana de 8 pestañas.","2 Contextual a análisis","Pestaña dentro del panel inferior.","Igual.","Dentro de la hoja de resultados, que se abre sola tras analizar.","Flechas/Home/End entre pestañas; comando de paleta.","Tap en pestaña.","No.","No.","persistente (el panel) / contextual (el contenido)","panel / sheet","empty (`EmptyResults` con el siguiente paso), failed (`FailedResults` con enlace a Model Doctor), analyzing (`aria-busy`).","El panel se abre solo en móvil al llegar el análisis.","La hoja recuerda su lanzador (`mobileReturnFocusRef`) con validación de que siga conectado.","22-25% del viewport en Expanded, SIEMPRE.","DECISIÓN CENTRAL: el panel reserva altura antes de que exista un resultado. El contenido es 100% contextual al análisis; la presencia no.","Familias de resultado: cómo se leen cinco grupos sin parecer ocho pestañas.","—"
"RES-02","Resultados","Leer reacciones y localizar la máxima","Comprobar el equilibrio y encontrar el apoyo más cargado.","Pestaña `reactions`: tarjetas de Rx/Ry/M máximos que SON BOTONES y seleccionan el nudo, más una tabla completa donde cada `th` es un `result-object-link` con `aria-pressed` que también selecciona.","src/features/results/ResultsPanel.tsx:598-610 aprox (ReactionTable)","src/features/results/ResultsPanel.test.tsx","alta","inferencia","esencial","Análisis correcto.","`analysis?.success`.","Panel Results, familia «Estado».","Datasheet (tabular), lienzo (símbolos de reacción).","F-03 (valores del solver a 10px).","CADA NÚMERO ES NAVEGABLE: de la cifra al objeto en un clic, con `sr-only` que anuncia «localizar en el modelo». Es la unión resultado↔modelo mejor resuelta del producto.","2 Contextual a análisis + 9 Datos densos","Tabla en el panel.","Igual, más estrecha.","Tabla en la hoja, con `@container` que la recompone bajo 560px.","Tab por celdas-botón.","Tap.","Celdas de tabla pequeñas.","Produce selección, no depende de ella.","contextual","table dentro de panel/sheet","—","El objeto queda seleccionado; el Inspector cambia.","`aria-pressed` marca la fila seleccionada.","Dentro del panel.","La tabla de reacciones y el Datasheet muestran datos del mismo modelo con dos motores de tabla distintos.","Tabla de resultados: densidad, alineación tabular y celda-como-enlace.","Comportamiento con cientos de nudos (¿hay virtualización? no verificado)."
"RES-03","Resultados","Leer los diagramas N, V y M","Entender cómo se reparte el esfuerzo a lo largo de una barra.","Tres pestañas de la familia «Fuerzas», cada una con su color técnico (`axial`, `shear`, `moment`). `DiagramView` con `evaluateDiagramAt`, control de Bézier por segmento, envolvente (`buildDiagramEnvelope`, `envelope-toggle`) y cursor de resultado (`resultCursor`).","src/features/results/ResultsPanel.tsx:29-38, 548; src/engine/diagram.ts; src/engine/envelope.ts","src/engine/diagram.test.ts; src/engine/envelope.test.ts; src/engine/ftoolComparison.test.ts; src/engine/hibbelerFrames.test.ts","alta","evidencia","esencial","Análisis + miembro (de la selección o el primero disponible).","`analysis?.success` y un `memberResult`.","Panel Results + overlay sobre el lienzo (capa `results`).","Corte sobre el lienzo (MOD-16), PDF de cálculo, Datasheet no los incluye.","F-02 (`envelope-toggle` mide 48×26; `select` «Objetivo de análisis» 81×20). F-03 (valor «36.35» del diagrama a 10px).","Los colores técnicos coinciden EXACTAMENTE con el Brandbook en tema claro, y el significado nunca depende sólo del color (trazo continuo/discontinuo + icono + etiqueta).","2 Contextual a análisis + 3 Contextual a selección + 4 Canvas-local (el overlay)","Panel + overlay.","Igual.","Hoja + overlay; hay modo «enfocado» a pantalla completa (`results-mode-focused`).","Flechas entre pestañas; cursor sobre la gráfica.","Tap; el modo enfocado da altura real al diagrama.","Leer un valor en una posición exacta: resuelto por cursor y por corte.","SÍ: el diagrama que se ve es el del miembro seleccionado (`resultContext`).","contextual","panel / sheet / canvas overlay","Sin miembro evaluable, no hay diagrama.","Cursor sincronizado con `ProvenanceCard`.","Pestañas con roving.","Panel + overlay sobre el lienzo.","RESULTS NO ES UNA UNIDAD: el diagrama tiene una parte de panel (la gráfica), una de lienzo (el overlay), una de selección (qué miembro) y una de datos densos (la tabla). CRI-9 puede separarlas.","Diagrama: trazo, relleno, rótulos de valor y su suelo tipográfico.","Cómo se elige el miembro cuando no hay selección (hoy: el primero no rígido)."
"RES-04","Resultados","Ver la deformada","Comprobar que la estructura se mueve como se espera.","Pestaña `deformed` (familia «Forma») con `evaluateDeformationAt`; escala controlable desde Inspector › Vista (`deformedScale`).","src/features/results/ResultsPanel.tsx:46, 550; src/engine/diagram.ts; src/features/inspector/Inspector.tsx:344","src/engine/diagram.test.ts","alta","inferencia","esencial","Análisis.","`analysis?.success`.","Panel Results + overlay en el lienzo.","Ninguna.","F-11/F-12 (el violeta de deformada difiere entre temas).","La escala es un factor VISUAL declarado, no una deformación real: el usuario sabe que está exagerada.","2 Contextual a análisis + 4 Canvas-local","Panel + overlay.","Igual.","Hoja + overlay.","Pestaña.","Tap.","No.","Sí para el detalle por miembro.","contextual","panel / canvas overlay","—","Trazo deformado sobre el modelo.","—","Overlay.","El control de escala vive en el Inspector y el resultado en Results: dos paneles para una lectura.","Deformada: trazo y su relación con el modelo sin deformar.","—"
"RES-05","Resultados","Consultar el índice elástico estimado","Saber cuánto se aprovecha la sección respecto al límite elástico.","Subsistema propio con GATE EXPLÍCITO (`elasticDemandGate`): devuelve `blocker: ""no-analysis"" | ""unreliable"" | ""no-evaluable-member""` y no calcula si la fiabilidad no lo permite. Necesita módulo resistente Y límite elástico del miembro; si falta alguno, lo declara como `gap` en vez de inventarlo.","src/features/results/elasticDemand.ts:41-443; src/features/results/ElasticDemandCard.tsx","src/features/results/elasticDemand.test.ts (452 líneas); ElasticDemandCard.test.tsx; reports/2026-08-14-1250-cri-42-indice-elastico-estimado.md","media","inferencia","esencial","Análisis fiable + miembro con sección y material identificados.","Fiabilidad utilizable y no `unreliable`/`failed`.","Tarjeta dentro de Results; capa `heatmap` del lienzo (apagada por defecto).","Dos representaciones: cifra por miembro y mapa de calor.","—","FAIL-CLOSED EJEMPLAR: `success ≠ reliable ≠ safe` implementado literalmente. Si no puede calcularse, dice por qué y nombra el check que gobierna, en vez de mostrar un número tranquilizador.","2 Contextual a análisis + 3 Contextual a selección","Tarjeta en Results + heatmap opcional.","Igual.","Igual.","Lectura; el heatmap se activa desde capas.","Igual.","No.","SÍ para la cifra por miembro.","contextual","panel + canvas overlay","Tres bloqueos nombrados + `limited` con confianza reducida + `gap` por dato faltante.","Explicación del bloqueo, no un guion.","—","Tarjeta + capa.","Es la mejor prueba de que el producto sabe decir «no puedo». Ese contrato debe sobrevivir a cualquier reorganización.","Escala continua del índice (`elasticIndexPaint`) y su leyenda.","Qué fracción de modelos reales tiene sección Y material identificados."
